HERO_TYPEID,EVOLVE_TYPEID,COIN,COST_HERO_1,COST_HERO_2,COST_HERO_3,COST_HERO_4,COST_HERO_5,
10198,10199,100000,10031,10037,10043,,,
10200,10201,50000,10032,10062,,,,
10201,10202,100000,10032,10038,10044,,,
10203,10204,50000,10033,10062,,,,
10204,10205,100000,10033,10039,10045,,,
10206,10207,50000,10034,10062,,,,
10207,10208,100000,10034,10040,10046,,,
10209,10210,50000,10035,10062,,,,
10210,10211,100000,10035,10041,10047,,,
10212,10213,50000,10036,10062,,,,
10213,10214,100000,10036,10042,10048,,,
10215,10216,100000,10031,10037,10043,,,
10216,10217,200000,10031,10037,10043,10055,10062,
10218,10219,100000,10032,10038,10044,,,
10219,10220,200000,10032,10038,10044,10056,10062,
10221,10222,100000,10033,10039,10045,,,
10222,10223,200000,10033,10039,10045,10057,10062,
10224,10225,100000,10034,10040,10046,,,
10225,10226,200000,10034,10040,10046,10058,10062,
10227,10228,100000,10035,10041,10047,,,
10228,10229,200000,10035,10041,10047,10059,10062,
10230,10231,100000,10036,10042,10048,,,
10231,10232,200000,10036,10042,10048,10060,10062,
10233,10234,100000,10031,10037,10043,10062,,
10234,10235,200000,10031,10037,10043,10049,10055,
10236,10237,100000,10032,10038,10044,10062,,
10237,10238,200000,10032,10038,10044,10050,10056,
10239,10240,100000,10033,10039,10045,10062,,
10240,10241,200000,10033,10039,10045,10051,10057,
10242,10243,100000,10034,10040,10046,10062,,
10243,10244,200000,10034,10040,10046,10052,10058,
10245,10246,100000,10035,10041,10047,10062,,
10246,10247,200000,10035,10041,10047,10053,10059,
10248,10249,100000,10036,10042,10048,10062,,
10249,10250,200000,10036,10042,10048,10054,10060,
10251,10252,50000,10031,10062,,,,
10252,10253,100000,10031,10037,10043,10062,,
10254,10255,50000,10032,10062,,,,
10255,10256,100000,10032,10038,10044,10062,,
10257,10258,50000,10033,10062,,,,
10258,10259,100000,10033,10039,10045,10062,,
10260,10261,50000,10034,10062,,,,
10261,10262,100000,10034,10040,10046,10062,,
10263,10264,50000,10035,10062,,,,
10264,10265,100000,10035,10041,10047,10062,,
10266,10267,50000,10036,10062,,,,
10267,10268,100000,10036,10042,10048,10062,,
10272,10273,200000,10043,10049,10049,10055,10063,
10275,10276,200000,10044,10050,10050,10056,10063,
10278,10279,200000,10045,10051,10051,10057,10063,
10281,10282,200000,10046,10052,10052,10058,10063,
10284,10285,200000,10048,10054,10054,10060,10063,
10287,10288,100000,10031,10037,10043,10062,,
10288,10289,200000,10031,10037,10043,10049,10055,
10290,10291,100000,10032,10038,10044,10062,,
10291,10292,200000,10032,10038,10044,10050,10056,
10293,10294,100000,10033,10039,10045,10062,,
10294,10295,200000,10033,10039,10045,10051,10057,
10296,10297,100000,10034,10040,10046,10062,,
10297,10298,200000,10034,10040,10046,10052,10058,
10299,10300,100000,10035,10041,10047,10062,,
10300,10301,200000,10035,10041,10047,10053,10059,
10302,10303,100000,10036,10042,10048,10062,,
10303,10304,200000,10036,10042,10048,10054,10060,
10305,10306,100000,10037,10037,10043,10062,,
10306,10307,200000,10043,10043,10049,10055,10063,
10308,10309,100000,10038,10038,10044,10062,,
10309,10310,200000,10044,10044,10050,10056,10063,
10311,10312,100000,10039,10039,10045,10062,,
10312,10313,200000,10045,10045,10051,10057,10063,
10314,10315,100000,10040,10040,10046,10062,,
10315,10316,200000,10046,10046,10052,10058,10063,
10317,10318,100000,10041,10041,10047,10062,,
10318,10319,200000,10047,10047,10053,10059,10063,
10320,10321,100000,10042,10042,10048,10062,,
10321,10322,200000,10048,10048,10054,10060,10063,
10323,10324,100000,10037,10037,10043,10062,,
10324,10325,200000,10043,10043,10049,10055,10063,
10326,10327,100000,10038,10038,10044,10062,,
10327,10328,200000,10044,10044,10050,10056,10063,
10329,10330,100000,10039,10045,10045,10062,,
10330,10331,200000,10045,10051,10051,10057,10063,
10332,10333,100000,10040,10040,10046,10062,,
10333,10334,200000,10046,10046,10052,10058,10063,
10335,10336,100000,10041,10041,10047,10062,,
10336,10337,200000,10047,10047,10053,10059,10063,
10338,10339,100000,10042,10042,10048,10062,,
10339,10340,200000,10048,10048,10054,10060,10063,
10341,10342,100000,10037,10037,10043,10062,,
10342,10343,200000,10043,10043,10049,10055,10063,
10344,10345,100000,10038,10038,10044,10062,,
10345,10346,200000,10044,10044,10050,10056,10063,
10347,10348,100000,10039,10039,10045,10062,,
10348,10349,200000,10045,10045,10051,10057,10063,
10350,10351,100000,10040,10040,10046,10062,,
10351,10352,200000,10046,10046,10052,10058,10063,
10353,10354,100000,10041,10041,10047,10062,,
10354,10355,200000,10047,10047,10053,10059,10063,
10356,10357,100000,10042,10042,10048,10062,,
10357,10358,200000,10048,10048,10054,10060,10063,
10359,10360,100000,10037,10037,10043,10062,,
10360,10361,200000,10043,10043,10049,10055,10063,
10362,10363,100000,10038,10038,10044,10062,,
10363,10364,200000,10044,10044,10050,10056,10063,
10365,10366,100000,10039,10039,10045,10062,,
10366,10367,200000,10045,10045,10051,10057,10063,
10368,10369,100000,10040,10040,10046,10062,,
10369,10370,200000,10046,10046,10052,10058,10063,
10371,10372,100000,10037,10043,10043,10062,,
10372,10373,200000,10043,10049,10049,10055,10063,
10374,10375,100000,10038,10044,10044,10062,,
10375,10376,200000,10044,10050,10050,10062,10063,
10377,10378,100000,10039,10039,10045,10062,,
10378,10379,200000,10045,10045,10051,10057,10063,
10380,10381,100000,10040,10040,10046,10062,,
10381,10382,200000,10046,10046,10052,10058,10063,
10383,10384,100000,10041,10047,10047,10062,,
10384,10385,200000,10047,10053,10053,10059,10063,
10386,10387,100000,10042,10048,10048,10062,,
10387,10388,200000,10048,10054,10054,10060,10063,
10389,10390,100000,10041,10041,10047,10062,,
10390,10391,200000,10047,10047,10053,10059,10063,
10392,10393,100000,10037,10037,10043,10062,,
10393,10394,200000,10043,10043,10049,10055,10063,
10395,10396,100000,10037,10043,10043,10062,,
10396,10397,200000,10043,10049,10049,10055,10063,
10398,10399,100000,10038,10044,10044,10062,,
10399,10400,200000,10044,10050,10050,10056,10063,
10401,10402,100000,10039,10045,10045,10062,,
10402,10403,200000,10045,10051,10051,10057,10063,
10404,10405,100000,10040,10046,10046,10062,,
10405,10406,200000,10046,10052,10052,10058,10063,
10407,10408,200000,10047,10053,10053,10059,10063,
10410,10411,200000,10048,10054,10054,10060,10063,
10413,10414,200000,10043,10049,10049,10055,10063,
10416,10417,200000,10044,10050,10050,10056,10063,
10419,10420,200000,10045,10051,10051,10057,10063,
10422,10423,200000,10046,10052,10052,10058,10063,
10425,10426,100000,10041,10047,10047,10062,,
10426,10427,200000,10047,10053,10053,10059,10063,
10428,10429,100000,10042,10048,10048,10062,,
10429,10430,200000,10048,10054,10054,10060,10063,
10431,10432,1000,10031,,,,,
10432,10433,50000,10031,10062,,,,
10434,10435,1000,10032,,,,,
10435,10436,50000,10032,10062,,,,
10437,10438,1000,10033,,,,,
10438,10439,50000,10033,10062,,,,
10440,10441,1000,10034,,,,,
10441,10442,50000,10034,10062,,,,
10443,10444,1000,10035,,,,,
10444,10445,50000,10035,10062,,,,
10446,10447,1000,10036,,,,,
10447,10448,50000,10036,10062,,,,
