MONSTER_TYPEID,NAME,CLASS,HP,ATK,DEF,RECOVER,VIOLENCE,STATUS_POISON,STATUS_WEAK,STATUS_SICK,STATUS_HURT,STATUS_PARALYSIS,STATUS_CURSE,SPARK_COIN,SPARK_SOUL,SKILL_BASE,ACTION_CNT_MIN,ACTION_CNT,AI,CATCH_ID,CATCH_RATE,CATCH_LEVEL_MIN,CATCH_LEVEL_MAX,IS_BOSS,
90017,900171,3,748,198,132,145,500,0,0,0,0,0,0,13,7,46000,1,2,0,10101,2500,1,3,0,
90018,900181,3,956,181,145,131,500,0,0,0,0,0,0,13,7,46001,1,2,0,10137,2500,1,3,0,
90019,900191,3,956,198,172,160,500,0,0,0,0,0,0,13,7,46000,1,2,0,10167,2500,1,3,0,
90020,900201,4,998,207,158,189,500,0,0,0,0,0,0,13,7,46001,1,2,0,10122,2500,1,3,0,
90021,900211,2,832,172,132,145,500,0,0,0,0,0,0,13,7,46000,1,2,0,10095,2500,1,3,0,
90022,900221,4,748,198,132,145,500,0,0,0,0,0,0,13,7,46001,1,2,0,10104,2500,1,3,0,
90023,900231,4,956,181,145,131,500,0,0,0,0,0,0,13,7,46000,1,2,0,10104,2500,1,3,0,
90024,900241,4,956,198,172,160,500,0,0,0,0,0,0,13,7,46001,1,2,0,10122,2500,1,3,0,
90025,900251,4,998,207,158,189,500,0,0,0,0,0,0,13,7,46000,1,2,0,10122,2500,1,3,0,
90026,900261,5,844,175,134,147,500,0,0,0,0,0,0,13,7,46001,1,2,0,10107,2500,1,3,0,
90027,900271,6,760,201,134,147,500,0,0,0,0,0,0,13,7,46000,1,2,0,10110,2500,1,3,0,
90028,900281,6,971,184,147,133,500,0,0,0,0,0,0,13,7,46001,1,2,0,10146,2500,1,3,0,
90029,900291,6,971,201,174,162,500,0,0,0,0,0,0,13,7,46000,1,2,0,10146,2500,1,3,0,
90030,900301,5,1013,210,161,192,500,0,0,0,0,0,0,13,7,46001,1,2,0,10137,2500,1,3,0,
90031,900311,6,844,175,134,147,500,0,0,0,0,0,0,19,9,46000,1,2,0,10110,2500,1,3,0,
90032,900321,5,760,201,134,147,500,0,0,0,0,0,0,19,9,46001,1,2,0,10107,2500,1,3,0,
90033,900331,5,971,184,147,133,500,0,0,0,0,0,0,19,9,46000,1,2,0,10137,2500,1,3,0,
90034,900341,6,971,201,174,162,500,0,0,0,0,0,0,19,9,46001,1,2,0,10128,2500,1,3,0,
90035,900351,5,1013,210,161,192,500,0,0,0,0,0,0,19,9,46000,1,2,0,10137,2500,1,3,0,
90036,900361,1,844,175,134,147,500,0,0,0,0,0,0,19,9,46001,1,2,0,10098,2500,1,3,0,
90037,900371,1,760,201,134,147,500,0,0,0,0,0,0,19,9,46000,1,2,0,10167,2500,1,3,0,
90038,900381,6,971,184,147,133,500,0,0,0,0,0,0,19,9,46001,1,2,0,10146,2500,1,3,0,
90039,900391,2,971,201,174,162,500,0,0,0,0,0,0,19,9,46000,1,2,0,10095,2500,1,3,0,
90040,900401,2,1013,210,161,192,500,0,0,0,0,0,0,19,9,46001,1,2,0,10131,2500,1,3,0,
90041,900411,3,844,175,134,147,500,0,0,0,0,0,0,19,9,46000,1,2,0,10137,2500,1,3,0,
90042,900421,3,760,201,134,147,500,0,0,0,0,0,0,19,9,46001,1,2,0,10101,2500,1,3,0,
90043,900431,3,971,184,147,133,500,0,0,0,0,0,0,19,9,46000,1,2,0,10167,2500,1,3,0,
90044,900441,4,971,201,174,162,500,0,0,0,0,0,0,19,9,46001,1,2,0,10122,2500,1,3,0,
90045,900451,4,1013,210,161,192,500,0,0,0,0,0,0,19,9,46000,1,2,0,10104,2500,1,3,0,
90046,900461,1,857,178,136,150,500,0,0,0,0,0,0,19,9,46001,1,2,0,10167,2500,1,3,0,
90047,900471,4,771,204,136,150,500,0,0,0,0,0,0,19,9,46000,1,2,0,10122,2500,1,3,0,
90048,900481,5,985,186,150,135,500,0,0,0,0,0,0,19,9,46001,1,2,0,10107,2500,1,3,0,
90049,900491,6,985,204,177,165,500,0,0,0,0,0,0,19,9,46000,1,2,0,10128,2500,1,3,0,
90050,900501,5,1028,213,163,194,500,0,0,0,0,0,0,19,9,46001,1,2,0,10137,2500,1,3,0,
90051,900511,1,857,370,136,150,500,0,0,0,0,0,0,19,9,46000,1,2,0,10098,2500,1,3,0,
90052,900521,2,771,400,136,150,500,0,0,0,0,0,0,19,9,46001,1,2,0,10095,2500,1,3,0,
90053,900531,3,985,385,150,135,500,0,0,0,0,0,0,19,9,46000,1,2,0,10101,2500,1,3,0,
90054,900541,4,985,204,177,165,500,0,0,0,0,0,0,19,9,46001,1,2,0,10104,2500,1,3,0,
90055,900551,5,1028,213,163,194,500,0,0,0,0,0,0,24,12,46000,1,2,0,10110,2500,1,3,0,
90056,900561,6,857,178,136,150,500,0,0,0,0,0,0,24,12,46001,1,2,0,10107,2500,1,3,0,
90057,900571,3,771,204,136,150,500,0,0,0,0,0,0,24,12,46000,1,2,0,10101,2500,1,3,0,
90058,900581,1,985,186,150,135,500,0,0,0,0,0,0,24,12,46001,1,2,0,10098,2500,1,3,0,
90059,900591,1,985,204,177,165,500,0,0,0,0,0,0,24,12,46000,1,2,0,10167,2500,1,3,0,
90060,900601,1,1028,213,163,194,500,0,0,0,0,0,0,24,12,46001,1,2,0,10167,2500,1,3,0,
90061,900611,3,857,178,136,150,500,0,0,0,0,0,0,24,12,46000,1,2,0,10104,2500,1,3,0,
90062,900621,2,771,204,136,150,500,0,0,0,0,0,0,24,12,46001,1,2,0,10095,2500,1,3,0,
90063,900631,2,985,186,150,135,500,0,0,0,0,0,0,24,12,46000,1,2,0,10131,2500,1,3,0,
90064,900641,3,985,204,177,165,500,0,0,0,0,0,0,24,12,46001,1,2,0,10137,2500,1,3,0,
90065,900651,2,1028,213,163,194,500,0,0,0,0,0,0,24,12,46000,1,2,0,10131,2500,1,3,0,
90066,900661,1,869,180,138,152,500,0,0,0,0,0,0,24,12,46001,1,2,0,10098,2500,1,3,0,
90067,900671,3,782,207,138,152,500,0,0,0,0,0,0,24,12,46000,1,2,0,10101,2500,1,3,0,
90068,900681,3,1000,189,152,137,500,0,0,0,0,0,0,24,12,46001,1,2,0,10137,2500,1,3,0,
90069,900691,3,1000,207,179,167,500,0,0,0,0,0,0,24,12,46000,1,2,0,10167,2500,1,3,0,
90070,900701,4,1043,216,166,197,500,0,0,0,0,0,0,24,12,46001,1,2,0,10122,2500,1,3,0,
90071,900711,2,869,180,138,152,500,0,0,0,0,0,0,24,12,46000,1,2,0,10095,2500,1,3,0,
90072,900721,4,782,207,138,152,500,0,0,0,0,0,0,24,12,46001,1,2,0,10104,2500,1,3,0,
90073,900731,4,1000,189,152,137,500,0,0,0,0,0,0,24,12,46000,1,2,0,10104,2500,1,3,0,
90074,900741,4,1000,207,179,167,500,0,0,0,0,0,0,24,12,46001,1,2,0,10122,2500,1,3,0,
90075,900751,4,1043,216,166,197,500,0,0,0,0,0,0,24,12,46000,1,2,0,10122,2500,1,3,0,
90076,900761,5,869,180,138,152,500,0,0,0,0,0,0,24,12,46001,1,2,0,10107,2500,1,3,0,
90077,900771,6,782,207,138,152,500,0,0,0,0,0,0,24,12,46000,1,2,0,10110,2500,1,3,0,
90078,900781,6,1000,189,152,137,500,0,0,0,0,0,0,24,12,46001,1,2,0,10146,2500,1,3,0,
90079,900791,6,1000,207,179,167,500,0,0,0,0,0,0,30,15,46000,1,2,0,10146,2500,1,3,0,
90080,900801,5,1043,216,166,197,500,0,0,0,0,0,0,30,15,46001,1,2,0,10137,2500,1,3,0,
90081,900811,6,869,180,138,152,500,0,0,0,0,0,0,30,15,46000,1,2,0,10110,2500,1,3,0,
90082,900821,5,782,207,138,152,500,0,0,0,0,0,0,30,15,46001,1,2,0,10107,2500,1,3,0,
90083,900831,5,1000,189,152,137,500,0,0,0,0,0,0,30,15,46000,1,2,0,10137,2500,1,3,0,
90084,900841,6,1000,207,179,167,500,0,0,0,0,0,0,30,15,46001,1,2,0,10128,2500,1,3,0,
90085,900851,5,1043,216,166,197,500,0,0,0,0,0,0,30,15,46000,1,2,0,10137,2500,1,3,0,
90086,900861,1,882,183,140,154,500,0,0,0,0,0,0,30,15,46001,1,2,0,10098,2500,1,3,0,
90087,900871,1,794,210,140,154,500,0,0,0,0,0,0,30,15,46000,1,2,0,10167,2500,1,3,0,
90088,900881,6,1014,192,154,139,500,0,0,0,0,0,0,30,15,46001,1,2,0,10146,2500,1,3,0,
90089,900891,2,1014,210,182,169,500,0,0,0,0,0,0,30,15,46000,1,2,0,10095,2500,1,3,0,
90090,900901,2,1058,219,168,200,500,0,0,0,0,0,0,30,15,46001,1,2,0,10131,2500,1,3,0,
90091,900911,3,882,183,140,154,500,0,0,0,0,0,0,30,15,46000,1,2,0,10137,2500,1,3,0,
90092,900921,3,794,210,140,154,500,0,0,0,0,0,0,30,15,46001,1,2,0,10101,2500,1,3,0,
90093,900931,3,1014,192,154,139,500,0,0,0,0,0,0,30,15,46000,1,2,0,10167,2500,1,3,0,
90094,900941,4,1014,210,182,169,500,0,0,0,0,0,0,30,15,46001,1,2,0,10122,2500,1,3,0,
90095,900951,4,1058,219,168,200,500,0,0,0,0,0,0,30,15,46000,1,2,0,10104,2500,1,3,0,
90096,900961,1,882,183,140,154,500,0,0,0,0,0,0,30,15,46001,1,2,0,10167,2500,1,3,0,
90097,900971,4,794,210,140,154,500,0,0,0,0,0,0,30,15,46000,1,2,0,10122,2500,1,3,0,
90098,900981,5,1014,192,154,139,500,0,0,0,0,0,0,30,15,46001,1,2,0,10107,2500,1,3,0,
90099,900991,6,1014,210,182,169,500,0,0,0,0,0,0,30,15,46000,1,2,0,10128,2500,1,3,0,
90100,901001,5,1058,219,168,200,500,0,0,0,0,0,0,30,15,46001,1,2,0,10137,2500,1,3,0,
90101,901011,1,882,183,140,154,500,0,0,0,0,0,0,30,15,46000,1,2,0,10098,2500,1,3,0,
90102,901021,2,794,210,140,154,500,0,0,0,0,0,0,30,15,46001,1,2,0,10095,2500,1,3,0,
90103,901031,3,1014,192,154,139,500,0,0,0,0,0,0,34,17,46000,1,2,0,10101,2500,1,3,0,
90104,901041,4,1014,210,182,169,500,0,0,0,0,0,0,34,17,46001,1,2,0,10104,2500,1,3,0,
90105,901051,5,1058,219,168,200,500,0,0,0,0,0,0,34,17,46000,1,2,0,10110,2500,1,3,0,
90106,901061,6,882,183,140,154,500,0,0,0,0,0,0,34,17,46001,1,2,0,10107,2500,1,3,0,
90107,901071,3,794,210,140,154,500,0,0,0,0,0,0,34,17,46000,1,2,0,10101,2500,1,3,0,
90108,901081,1,1014,192,154,139,500,0,0,0,0,0,0,34,17,46001,1,2,0,10098,2500,1,3,0,
90109,901091,1,1014,210,182,169,500,0,0,0,0,0,0,34,17,46000,1,2,0,10167,2500,1,3,0,
90110,901101,1,1058,219,168,200,500,0,0,0,0,0,0,34,17,46001,1,2,0,10167,2500,1,3,0,
90111,901111,3,882,183,140,154,500,0,0,0,0,0,0,34,17,46000,1,2,0,10104,2500,1,3,0,
90112,901121,2,794,210,140,154,500,0,0,0,0,0,0,34,17,46001,1,2,0,10095,2500,1,3,0,
90113,901131,2,1014,192,154,139,500,0,0,0,0,0,0,34,17,46000,1,2,0,10131,2500,1,3,0,
90114,901141,3,1014,210,182,169,500,0,0,0,0,0,0,34,17,46001,1,2,0,10137,2500,1,3,0,
90115,901151,2,1058,219,168,200,500,0,0,0,0,0,0,34,17,46000,1,2,0,10131,2500,1,3,0,
90116,901161,1,882,183,140,154,500,0,0,0,0,0,0,34,17,46001,1,2,0,10098,2500,1,3,0,
90117,901171,3,794,210,140,154,500,0,0,0,0,0,0,34,17,46000,1,2,0,10101,2500,1,3,0,
90118,901181,3,1014,192,154,139,500,0,0,0,0,0,0,34,17,46001,1,2,0,10137,2500,1,3,0,
90119,901191,3,1014,210,182,169,500,0,0,0,0,0,0,34,17,46000,1,2,0,10167,2500,1,3,0,
90120,901201,4,1058,219,168,200,500,0,0,0,0,0,0,34,17,46001,1,2,0,10122,2500,1,3,0,
90121,901211,2,895,185,142,156,500,0,0,0,0,0,0,34,17,46000,1,2,0,10095,2500,1,3,0,
90122,901221,4,805,213,142,156,500,0,0,0,0,0,0,34,17,46001,1,2,0,10104,2500,1,3,0,
90123,901231,4,1029,195,156,141,500,0,0,0,0,0,0,34,17,46000,1,2,0,10104,2500,1,3,0,
90124,901241,4,1029,213,185,172,500,0,0,0,0,0,0,34,17,46001,1,2,0,10122,2500,1,3,0,
90125,901251,4,1074,222,170,203,500,0,0,0,0,0,0,34,17,46000,1,2,0,10122,2500,1,3,0,
90126,901261,5,895,185,142,156,500,0,0,0,0,0,0,34,17,46001,1,2,0,10107,2500,1,3,0,
90127,901271,6,805,213,142,156,500,0,0,0,0,0,0,39,20,46000,1,2,0,10110,2500,1,3,0,
90128,901281,6,1029,195,156,141,500,0,0,0,0,0,0,39,20,46001,1,2,0,10146,2500,1,3,0,
90129,901291,6,1029,213,185,172,500,0,0,0,0,0,0,39,20,46000,1,2,0,10146,2500,1,3,0,
90130,901301,5,1074,222,170,203,500,0,0,0,0,0,0,39,20,46001,1,2,0,10137,2500,1,3,0,
90131,901311,6,895,185,142,156,500,0,0,0,0,0,0,39,20,46000,1,2,0,10110,2500,1,3,0,
90132,901321,5,805,213,142,156,500,0,0,0,0,0,0,39,20,46001,1,2,0,10107,2500,1,3,0,
90133,901331,5,1029,195,156,141,500,0,0,0,0,0,0,39,20,46000,1,2,0,10137,2500,1,3,0,
90134,901341,6,1029,213,185,172,500,0,0,0,0,0,0,39,20,46001,1,2,0,10128,2500,1,3,0,
90135,901351,5,1074,222,170,203,500,0,0,0,0,0,0,39,20,46000,1,2,0,10137,2500,1,3,0,
90136,901361,1,895,185,142,156,500,0,0,0,0,0,0,39,20,46001,1,2,0,10098,2500,1,3,0,
90137,901371,1,805,213,142,156,500,0,0,0,0,0,0,39,20,46000,1,2,0,10167,2500,1,3,0,
90138,901381,6,1029,195,156,141,500,0,0,0,0,0,0,39,20,46001,1,2,0,10146,2500,1,3,0,
90139,901391,2,1029,213,185,172,500,0,0,0,0,0,0,39,20,46000,1,2,0,10095,2500,1,3,0,
90140,901401,2,1074,222,170,203,500,0,0,0,0,0,0,39,20,46001,1,2,0,10131,2500,1,3,0,
90141,901411,3,969,201,154,169,500,0,0,0,0,0,0,39,20,46000,1,2,0,10137,2500,1,3,0,
90142,901421,3,872,231,154,169,500,0,0,0,0,0,0,39,20,46001,1,2,0,10101,2500,1,3,0,
90143,901431,3,1114,211,169,152,500,0,0,0,0,0,0,39,20,46000,1,2,0,10167,2500,1,3,0,
90144,901441,4,1114,231,200,186,500,0,0,0,0,0,0,39,20,46001,1,2,0,10122,2500,1,3,0,
90145,901451,4,1162,241,185,220,500,0,0,0,0,0,0,44,22,46000,1,2,0,10104,2500,1,3,0,
90146,901461,1,969,201,154,169,500,0,0,0,0,0,0,44,22,46001,1,2,0,10167,2500,1,3,0,
90147,901471,4,872,231,154,169,500,0,0,0,0,0,0,44,22,46000,1,2,0,10122,2500,1,3,0,
90148,901481,5,1114,211,169,152,500,0,0,0,0,0,0,44,22,46001,1,2,0,10107,2500,1,3,0,
90149,901491,6,1114,231,200,186,500,0,0,0,0,0,0,44,22,46000,1,2,0,10128,2500,1,3,0,
90150,901501,5,1162,241,185,220,500,0,0,0,0,0,0,44,22,46001,1,2,0,10137,2500,1,3,0,
90151,901511,1,969,201,154,169,500,0,0,0,0,0,0,48,24,46000,1,2,0,10098,2500,1,3,0,
90152,901521,2,872,231,154,169,500,0,0,0,0,0,0,48,24,46001,1,2,0,10095,2500,1,3,0,
90153,901531,3,1114,211,169,152,500,0,0,0,0,0,0,48,24,46000,1,2,0,10101,2500,1,3,0,
90154,901541,4,1114,231,200,186,500,0,0,0,0,0,0,48,24,46001,1,2,0,10104,2500,1,3,0,
90155,901551,5,1162,241,185,220,500,0,0,0,0,0,0,48,24,46000,1,2,0,10110,2500,1,3,0,
90156,901561,6,969,201,154,169,500,0,0,0,0,0,0,48,24,46001,1,2,0,10107,2500,1,3,0,
90157,901571,3,872,231,154,169,500,0,0,0,0,0,0,48,24,46000,1,2,0,10101,2500,1,3,0,
90158,901581,1,1114,211,169,152,500,0,0,0,0,0,0,48,24,46001,1,2,0,10098,2500,1,3,0,
90159,901591,1,1114,231,200,186,500,0,0,0,0,0,0,48,24,46000,1,2,0,10167,2500,1,3,0,
90160,901601,1,1162,241,185,220,500,0,0,0,0,0,0,48,24,46001,1,2,0,10167,2500,1,3,0,
90161,901611,3,969,201,154,169,500,0,0,0,0,0,0,48,24,46000,1,2,0,10104,2500,1,3,0,
90162,901621,2,872,231,154,169,500,0,0,0,0,0,0,48,24,46001,1,2,0,10095,2500,1,3,0,
90163,901631,2,1114,211,169,152,500,0,0,0,0,0,0,48,24,46000,1,2,0,10131,2500,1,3,0,
90164,901641,3,1114,231,200,186,500,0,0,0,0,0,0,48,24,46001,1,2,0,10137,2500,1,3,0,
90165,901651,2,1162,241,185,220,500,0,0,0,0,0,0,48,24,46000,1,2,0,10131,2500,1,3,0,
90166,901661,1,969,201,154,169,500,0,0,0,0,0,0,48,24,46001,1,2,0,10098,2500,1,3,0,
90167,901671,3,872,231,154,169,500,0,0,0,0,0,0,48,24,46000,1,2,0,10101,2500,1,3,0,
90168,901681,3,1114,211,169,152,500,0,0,0,0,0,0,48,24,46001,1,2,0,10137,2500,1,3,0,
90169,901691,3,1114,231,200,186,500,0,0,0,0,0,0,52,26,46000,1,2,0,10167,2500,1,3,0,
90170,901701,4,1162,241,185,220,500,0,0,0,0,0,0,52,26,46001,1,2,0,10122,2500,1,3,0,
90171,901711,2,969,201,154,169,500,0,0,0,0,0,0,52,26,46000,1,2,0,10095,2500,1,3,0,
90172,901721,4,872,231,154,169,500,0,0,0,0,0,0,52,26,46001,1,2,0,10104,2500,1,3,0,
90173,901731,4,1114,211,169,152,500,0,0,0,0,0,0,52,26,46000,1,2,0,10104,2500,1,3,0,
90174,901741,4,1114,231,200,186,500,0,0,0,0,0,0,52,26,46001,1,2,0,10122,2500,1,3,0,
90175,901751,4,1162,241,185,220,500,0,0,0,0,0,0,52,26,46000,1,2,0,10122,2500,1,3,0,
90176,901761,5,1069,222,163,180,500,0,0,0,0,0,0,52,26,46001,1,2,0,10107,2500,1,3,0,
90177,901771,6,963,255,163,180,500,0,0,0,0,0,0,52,26,46000,1,2,0,10110,2500,1,3,0,
90178,901781,6,1230,233,180,162,500,0,0,0,0,0,0,52,26,46001,1,2,0,10146,2500,1,3,0,
90179,901791,6,1230,255,212,198,500,0,0,0,0,0,0,52,26,46000,1,2,0,10146,2500,1,3,0,
90180,901801,5,1283,266,196,233,500,0,0,0,0,0,0,52,26,46001,1,2,0,10137,2500,1,3,0,
90181,901811,6,1069,222,163,180,500,0,0,0,0,0,0,52,26,46000,1,2,0,10110,2500,1,3,0,
90182,901821,5,963,255,163,180,500,0,0,0,0,0,0,52,26,46001,1,2,0,10107,2500,1,3,0,
90183,901831,5,1230,233,180,162,500,0,0,0,0,0,0,52,26,46000,1,2,0,10137,2500,1,3,0,
90184,901841,6,1230,255,212,198,500,0,0,0,0,0,0,52,26,46001,1,2,0,10128,2500,1,3,0,
90185,901851,5,1283,266,196,233,500,0,0,0,0,0,0,52,26,46000,1,2,0,10137,2500,1,3,0,
90186,901861,1,1069,222,163,180,500,0,0,0,0,0,0,52,26,46001,1,2,0,10098,2500,1,3,0,
90187,901871,1,963,255,163,180,500,0,0,0,0,0,0,52,26,46000,1,2,0,10167,2500,1,3,0,
90188,901881,6,1230,233,180,162,500,0,0,0,0,0,0,52,26,46001,1,2,0,10146,2500,1,3,0,
90189,901891,2,1230,255,212,198,500,0,0,0,0,0,0,52,26,46000,1,2,0,10095,2500,1,3,0,
90190,901901,2,1283,266,196,233,500,0,0,0,0,0,0,52,26,46001,1,2,0,10131,2500,1,3,0,
90191,901911,3,1069,222,163,180,500,0,0,0,0,0,0,52,26,46000,1,2,0,10137,2500,1,3,0,
90192,901921,3,963,255,163,180,500,0,0,0,0,0,0,52,26,46001,1,2,0,10101,2500,1,3,0,
90193,901931,3,1230,233,180,162,500,0,0,0,0,0,0,52,26,46000,1,2,0,10167,2500,1,3,0,
90194,901941,4,1230,255,212,198,500,0,0,0,0,0,0,52,26,46001,1,2,0,10122,2500,1,3,0,
90195,901951,4,1283,266,196,233,500,0,0,0,0,0,0,52,26,46000,1,2,0,10104,2500,1,3,0,
90196,901961,1,1069,222,163,180,500,0,0,0,0,0,0,52,26,46001,1,2,0,10167,2500,1,3,0,
90197,901971,4,963,255,163,180,500,0,0,0,0,0,0,52,26,46000,1,2,0,10122,2500,1,3,0,
90198,901981,5,1230,233,180,162,500,0,0,0,0,0,0,52,26,46001,1,2,0,10107,2500,1,3,0,
90199,901991,6,1230,255,212,198,500,0,0,0,0,0,0,52,26,46000,1,2,0,10128,2500,1,3,0,
90200,902001,5,1283,266,196,233,500,0,0,0,0,0,0,52,26,46001,1,2,0,10137,2500,1,3,0,
90201,902011,1,1135,236,167,184,500,0,0,0,0,0,0,52,26,46000,1,2,0,10098,2500,1,3,0,
90202,902021,2,1022,271,167,184,500,0,0,0,0,0,0,52,26,46001,1,2,0,10095,2500,1,3,0,
90203,902031,3,1306,247,184,165,500,0,0,0,0,0,0,52,26,46000,1,2,0,10101,2500,1,3,0,
90204,902041,4,1306,271,217,202,500,0,0,0,0,0,0,52,26,46001,1,2,0,10104,2500,1,3,0,
90205,902051,5,1362,283,200,239,500,0,0,0,0,0,0,52,26,46000,1,2,0,10110,2500,1,3,0,
90206,902061,6,1135,236,167,184,500,0,0,0,0,0,0,52,26,46001,1,2,0,10107,2500,1,3,0,
90207,902071,3,1022,271,167,184,500,0,0,0,0,0,0,52,26,46000,1,2,0,10101,2500,1,3,0,
90208,902081,1,1306,247,184,165,500,0,0,0,0,0,0,52,26,46001,1,2,0,10098,2500,1,3,0,
90209,902091,1,1306,271,217,202,500,0,0,0,0,0,0,52,26,46000,1,2,0,10167,2500,1,3,0,
90210,902101,1,1362,283,200,239,500,0,0,0,0,0,0,52,26,46001,1,2,0,10167,2500,1,3,0,
90211,902111,3,1135,236,167,184,500,0,0,0,0,0,0,57,28,46000,1,2,0,10104,2500,1,3,0,
90212,902121,2,1022,271,167,184,500,0,0,0,0,0,0,57,28,46001,1,2,0,10095,2500,1,3,0,
90213,902131,2,1306,247,184,165,500,0,0,0,0,0,0,57,28,46000,1,2,0,10131,2500,1,3,0,
90214,902141,3,1306,271,217,202,500,0,0,0,0,0,0,57,28,46001,1,2,0,10137,2500,1,3,0,
90215,902151,2,1362,283,200,239,500,0,0,0,0,0,0,57,28,46000,1,2,0,10131,2500,1,3,0,
90216,902161,1,1135,236,167,184,500,0,0,0,0,0,0,57,28,46001,1,2,0,10098,2500,1,3,0,
90217,902171,3,1022,271,167,184,500,0,0,0,0,0,0,57,28,46000,1,2,0,10101,2500,1,3,0,
90218,902181,3,1306,247,184,165,500,0,0,0,0,0,0,57,28,46001,1,2,0,10137,2500,1,3,0,
90219,902191,3,1306,271,217,202,500,0,0,0,0,0,0,57,28,46000,1,2,0,10167,2500,1,3,0,
90220,902201,4,1362,283,200,239,500,0,0,0,0,0,0,57,28,46001,1,2,0,10122,2500,1,3,0,
90221,902211,2,1135,236,167,184,500,0,0,0,0,0,0,57,28,46000,1,2,0,10095,2500,1,3,0,
90222,902221,4,1022,271,167,184,500,0,0,0,0,0,0,57,28,46001,1,2,0,10104,2500,1,3,0,
90223,902231,4,1306,247,184,165,500,0,0,0,0,0,0,57,28,46000,1,2,0,10104,2500,1,3,0,
90224,902241,4,1306,271,217,202,500,0,0,0,0,0,0,57,28,46001,1,2,0,10122,2500,1,3,0,
90225,902251,4,1362,283,200,239,500,0,0,0,0,0,0,57,28,46000,1,2,0,10122,2500,1,3,0,
90226,902261,5,1177,244,167,184,500,0,0,0,0,0,0,57,28,46001,1,2,0,10107,2500,1,3,0,
90227,902271,6,1060,281,167,184,500,0,0,0,0,0,0,57,28,46000,1,2,0,10110,2500,1,3,0,
90228,902281,6,1354,256,184,165,500,0,0,0,0,0,0,57,28,46001,1,2,0,10146,2500,1,3,0,
90229,902291,6,1354,281,217,202,500,0,0,0,0,0,0,57,28,46000,1,2,0,10146,2500,1,3,0,
90230,902301,5,1413,293,200,239,500,0,0,0,0,0,0,57,28,46001,1,2,0,10137,2500,1,3,0,
90231,902311,6,1177,244,167,184,500,0,0,0,0,0,0,57,28,46000,1,2,0,10110,2500,1,3,0,
90232,902321,5,1060,281,167,184,500,0,0,0,0,0,0,57,28,46001,1,2,0,10107,2500,1,3,0,
90233,902331,5,1354,256,184,165,500,0,0,0,0,0,0,57,28,46000,1,2,0,10137,2500,1,3,0,
90234,902341,6,1354,281,217,202,500,0,0,0,0,0,0,57,28,46001,1,2,0,10128,2500,1,3,0,
90235,902351,5,1413,293,200,239,500,0,0,0,0,0,0,57,28,46000,1,2,0,10137,2500,1,3,0,
90236,902361,1,1177,244,167,184,500,0,0,0,0,0,0,57,28,46001,1,2,0,10098,2500,1,3,0,
90237,902371,1,1060,281,167,184,500,0,0,0,0,0,0,57,28,46000,1,2,0,10167,2500,1,3,0,
90238,902381,6,1354,256,184,165,500,0,0,0,0,0,0,57,28,46001,1,2,0,10146,2500,1,3,0,
90239,902391,2,1354,281,217,202,500,0,0,0,0,0,0,57,28,46000,1,2,0,10095,2500,1,3,0,
